primary;category
surf_shop;Shopping, Errands
fabric_wholesaler;Shopping, Errands
board_of_education_offices;Education
awning_supplier;Shopping, Errands
pasta_shop;Shopping, Errands
crane_services;Others / Not sure
glass_manufacturer;Others / Not sure
junk_removal_and_hauling;Others / Not sure
fishing_club;Recreational, Outdoors
health_market;Shopping, Errands
periodontist;Healthcare and Health
cave;Recreational, Outdoors
football_stadium;Recreational, Outdoors
african_restaurant;Social, Cultural
surgical_center;Healthcare and Health
geological_services;Others / Not sure
civilization_museum;Social, Cultural
produce_wholesaler;Shopping, Errands
cotton_mill;Others / Not sure
personal_chef;Others / Not sure
kiteboarding;Recreational, Outdoors
family_practice;Healthcare and Health
lottery_ticket;Others / Not sure
plastic_manufacturer;Others / Not sure
aromatherapy;Recreational, Outdoors
temple;Social, Cultural
ukrainian_restaurant;Social, Cultural
custom_t_shirt_store;Shopping, Errands
cosmetic_surgeon;Healthcare and Health
shades_and_blinds;Shopping, Errands
cement_supplier;Others / Not sure
sports_psychologist;Healthcare and Health
souvenir_shop;Shopping, Errands
sex_therapist;Healthcare and Health
recreation_vehicle_repair;Shopping, Errands
taco_restaurant;Social, Cultural
sports_museum;Social, Cultural
digitizing_services;Others / Not sure
alcohol_and_drug_treatment_centers;Healthcare and Health
auto_restoration_services;Shopping, Errands
fire_and_water_damage_restoration;Others / Not sure
piano_services;Others / Not sure
furniture_repair;Others / Not sure
dog_walkers;Others / Not sure
whiskey_bar;Social, Cultural
egyptian_restaurant;Social, Cultural
medical_school;Education
farm_equipment_and_supply;Shopping, Errands
allergist;Healthcare and Health
public_transportation;Others / Not sure
bike_rentals;Recreational, Outdoors
business_brokers;Others / Not sure
mattress_store;Shopping, Errands
emissions_inspection;Others / Not sure
dinner_theater;Social, Cultural
laboratory_equipment_supplier;Shopping, Errands
natural_gas_supplier;Others / Not sure
wheel_and_rim_repair;Shopping, Errands
window_treatment_store;Shopping, Errands
tools_wholesaler;Shopping, Errands
bottled_water_company;Others / Not sure
commissioned_artist;Social, Cultural
mobile_phone_repair;Shopping, Errands
rv_park;Recreational, Outdoors
criminal_defense_law;Shopping, Errands
television_service_providers;Others / Not sure
chimney_sweep;Shopping, Errands
scuba_diving_instruction;Recreational, Outdoors
ethiopian_restaurant;Social, Cultural
sikh_temple;Social, Cultural
amateur_sports_league;Recreational, Outdoors
aircraft_manufacturer;Others / Not sure
sauna;Recreational, Outdoors
lodge;Recreational, Outdoors
peruvian_restaurant;Social, Cultural
radio_and_television_commercials;Others / Not sure
makeup_artist;Recreational, Outdoors
outlet_store;Shopping, Errands
bathroom_remodeling;Others / Not sure
writing_service;Others / Not sure
food_tours;Social, Cultural
food_and_beverage_consultant;Others / Not sure
automotive_consultant;Others / Not sure
electric_utility_provider;Others / Not sure
coffee_roastery;Social, Cultural
tiling;Others / Not sure
kurdish_restaurant;Social, Cultural
medical_spa;Healthcare and Health
playground;Recreational, Outdoors
bus_tours;Recreational, Outdoors
logging_equipment_and_supplies;Shopping, Errands
e_commerce_service;Others / Not sure
sky_diving;Recreational, Outdoors
fence_and_gate_sales_service;Shopping, Errands
latin_american_restaurant;Social, Cultural
trailer_dealer;Shopping, Errands
syrian_restaurant;Social, Cultural
carpet_cleaning;Others / Not sure
road_contractor;Others / Not sure
vehicle_shipping;Others / Not sure
professional_sports_league;Recreational, Outdoors
translation_services;Others / Not sure
car_window_tinting;Shopping, Errands
metals;Others / Not sure
truck_dealer;Shopping, Errands
heliports;Others / Not sure
baseball_field;Recreational, Outdoors
nurse_practitioner;Healthcare and Health
basketball_court;Recreational, Outdoors
mortgage_broker;Others / Not sure
civic_center;Social, Cultural
luggage_storage;Others / Not sure
alternative_medicine;Healthcare and Health
tire_shop;Shopping, Errands
audiologist;Healthcare and Health
occupational_safety;Others / Not sure
racquetball_court;Recreational, Outdoors
bartender;Social, Cultural
foot_care;Healthcare and Health
reptile_shop;Shopping, Errands
machine_and_tool_rentals;Shopping, Errands
promotional_products_and_services;Others / Not sure
bartending_school;Education
oral_surgeon;Healthcare and Health
soul_food;Social, Cultural
trusts;Others / Not sure
